1,17206263708.67,52755800.0,16250.0,15955132416.0,5193728.0,10387456.0,2678016.0,5361104.0,597747200.0,595245866.67,5072.0
4,17206263708.67,52755800.0,16250.0,15955132416.0,5193728.0,10387456.0,2678016.0,5361104.0,597747200.0,595245866.67,5072.0
16,17206263708.67,52755800.0,16250.0,15955132416.0,5193728.0,10387456.0,2678016.0,5361104.0,597747200.0,595245866.67,5072.0
8,17206263708.67,52755800.0,16250.0,15955132416.0,5193728.0,10387456.0,2678016.0,5361104.0,597747200.0,595245866.67,5072.0
32,17206658740.67,52773488.0,16250.0,15955132416.0,10387456.0,10387456.0,2678016.0,5361104.0,597941589.33,595428821.33,5072.0
512,17232779140.67,53818688.0,16250.0,15955132416.0,166199296.0,166199296.0,3895296.0,7795664.0,609604949.33,606406101.33,5072.0
128,17211882820.67,52982528.0,16250.0,15955132416.0,41549824.0,41549824.0,2921472.0,5848016.0,600274261.33,597624277.33,5072.0
2,17206263708.67,52755800.0,16250.0,15955132416.0,5193728.0,10387456.0,2678016.0,5361104.0,597747200.0,595245866.67,5072.0
256,17218848260.67,53261248.0,16250.0,15955132416.0,83099648.0,83099648.0,3246080.0,6497232.0,603384490.67,600551552.0,5072.0
64,17208400100.67,52843168.0,16250.0,15955132416.0,20774912.0,20774912.0,2759168.0,5523408.0,598719146.67,596160640.0,5072.0
32768,19013272026.0,122958400.0,16250.0,15955132416.0,10636754944.0,10636754944.0,85696512.0,171398096.0,1393382741.33,1370379050.67,5072.0
65536,20818196271.33,193212992.0,16250.0,15955132416.0,21273509888.0,21273509888.0,168796160.0,337597392.0,2189601450.67,2142630698.67,5072.0
16384,18110809903.33,87831104.0,16250.0,15955132416.0,5318377472.0,5318377472.0,44146688.0,88298448.0,995273386.67,984253226.67,5072.0
8192,17659578842.0,70267456.0,16250.0,15955132416.0,2659188736.0,2659188736.0,23371776.0,46748624.0,796218709.33,791190314.67,5072.0
4096,17432385327.33,61622848.0,16250.0,15955132416.0,1329594368.0,1329594368.0,12984320.0,25973712.0,696691370.67,692943658.67,5072.0
1024,17260640900.67,54933568.0,16250.0,15955132416.0,332398592.0,332398592.0,5193728.0,10392528.0,622045866.67,618115200.0,5072.0
2048,17318651354.0,57163328.0,16250.0,15955132416.0,664797184.0,664797184.0,7790592.0,15586256.0,646927701.33,643820330.67,5072.0
